T	Origin	Destination	Payoff	Type	Pickup	Region	Rate
0	0	0	13.555698924731184	Travel	1		
0	1	1	14.860476190476192	Travel	1		
0	2	0	79.1124	Travel	1		
0	2	1	34.95231707317073	Travel	1		
0	2	2	23.333666666666666	Travel	1		
0	2	3	41.10166666666667	Travel	1		
0	3	0	78.11105263157896	Travel	1		
0	3	1	28.455396825396825	Travel	1		
0	3	2	55.58	Travel	1		
0	3	3	17.56225	Travel	1		
0	1	0	73.7916	Travel	1		
0	0	3	69.585	Travel	1		
0	1	3	19.71736842105263	Travel	1		
0	0	2	65.37115384615385	Travel	1		
0	1	2	19.554	Travel	1		
0	0	1	75.72802469135803	Travel	1		
1	3	2	55.58	Travel	1		
1	3	1	28.455396825396825	Travel	1		
1	3	0	78.11105263157896	Travel	1		
1	2	2	23.333666666666666	Travel	1		
1	2	1	34.95231707317073	Travel	1		
1	2	0	79.1124	Travel	1		
1	3	3	17.56225	Travel	1		
1	2	3	41.10166666666667	Travel	1		
1	1	1	14.860476190476192	Travel	1		
1	1	0	73.7916	Travel	1		
1	0	3	69.585	Travel	1		
1	0	2	65.37115384615385	Travel	1		
1	0	1	75.72802469135803	Travel	1		
1	0	0	13.555698924731184	Travel	1		
1	1	2	19.554	Travel	1		
1	1	3	19.71736842105263	Travel	1		
2	3	3	17.56225	Travel	1		
2	0	2	65.37115384615385	Travel	1		
2	3	2	55.58	Travel	1		
2	3	1	28.455396825396825	Travel	1		
2	3	0	78.11105263157896	Travel	1		
2	0	0	13.555698924731184	Travel	1		
2	2	2	23.333666666666666	Travel	1		
2	2	1	34.95231707317073	Travel	1		
2	2	0	79.1124	Travel	1		
2	1	3	19.71736842105263	Travel	1		
2	2	3	41.10166666666667	Travel	1		
2	1	2	19.554	Travel	1		
2	0	3	69.585	Travel	1		
2	1	0	73.7916	Travel	1		
2	1	1	14.860476190476192	Travel	1		
2	0	1	75.72802469135803	Travel	1		
3	0	2	65.37115384615385	Travel	1		
3	0	1	75.72802469135803	Travel	1		
3	3	2	55.58	Travel	1		
3	3	3	17.56225	Travel	1		
3	3	1	28.455396825396825	Travel	1		
3	1	0	73.7916	Travel	1		
3	1	1	14.860476190476192	Travel	1		
3	1	2	19.554	Travel	1		
3	1	3	19.71736842105263	Travel	1		
3	2	0	79.1124	Travel	1		
3	2	1	34.95231707317073	Travel	1		
3	2	2	23.333666666666666	Travel	1		
3	2	3	41.10166666666667	Travel	1		
3	0	0	13.555698924731184	Travel	1		
3	0	3	69.585	Travel	1		
3	3	0	78.11105263157896	Travel	1		
4	3	1	27.007572815533983	Travel	1		
4	2	0	64.96300000000001	Travel	1		
4	2	1	28.615250000000003	Travel	1		
4	1	3	19.061818181818182	Travel	1		
4	1	1	21.05425925925926	Travel	1		
4	0	0	11.769473684210526	Travel	1		
4	0	3	71.33200000000001	Travel	1		
4	2	2	10.317333333333332	Travel	1		
4	1	0	73.82193798449613	Travel	1		
4	2	3	33.39333333333334	Travel	1		
4	0	2	65.44318181818181	Travel	1		
4	3	3	12.525277777777777	Travel	1		
4	0	1	70.58679487179488	Travel	1		
4	3	2	34.516	Travel	1		
4	3	0	73.84305555555555	Travel	1		
4	1	2	27.587	Travel	1		
5	1	2	27.587	Travel	1		
5	3	0	73.84305555555555	Travel	1		
5	0	0	11.769473684210526	Travel	1		
5	3	1	27.007572815533983	Travel	1		
5	2	3	33.39333333333334	Travel	1		
5	3	2	34.516	Travel	1		
5	0	1	70.58679487179488	Travel	1		
5	1	3	19.061818181818182	Travel	1		
5	3	3	12.525277777777777	Travel	1		
5	2	2	10.317333333333332	Travel	1		
5	1	1	21.05425925925926	Travel	1		
5	1	0	73.82193798449613	Travel	1		
5	0	3	71.33200000000001	Travel	1		
5	2	0	64.96300000000001	Travel	1		
5	0	2	65.44318181818181	Travel	1		
5	2	1	28.615250000000003	Travel	1		
6	1	3	19.061818181818182	Travel	1		
6	0	3	71.33200000000001	Travel	1		
6	3	3	12.525277777777777	Travel	1		
6	3	0	73.84305555555555	Travel	1		
6	0	2	65.44318181818181	Travel	1		
6	2	1	28.615250000000003	Travel	1		
6	2	0	64.96300000000001	Travel	1		
6	3	2	34.516	Travel	1		
6	0	1	70.58679487179488	Travel	1		
6	3	1	27.007572815533983	Travel	1		
6	0	0	11.769473684210526	Travel	1		
6	2	2	10.317333333333332	Travel	1		
6	1	0	73.82193798449613	Travel	1		
6	1	2	27.587	Travel	1		
6	1	1	21.05425925925926	Travel	1		
6	2	3	33.39333333333334	Travel	1		
7	0	3	71.33200000000001	Travel	1		
7	2	0	64.96300000000001	Travel	1		
7	2	2	10.317333333333332	Travel	1		
7	3	3	12.525277777777777	Travel	1		
7	1	2	27.587	Travel	1		
7	0	0	11.769473684210526	Travel	1		
7	1	1	21.05425925925926	Travel	1		
7	0	2	65.44318181818181	Travel	1		
7	3	2	34.516	Travel	1		
7	2	1	28.615250000000003	Travel	1		
7	1	0	73.82193798449613	Travel	1		
7	1	3	19.061818181818182	Travel	1		
7	2	3	33.39333333333334	Travel	1		
7	0	1	70.58679487179488	Travel	1		
7	3	1	27.007572815533983	Travel	1		
7	3	0	73.84305555555555	Travel	1		
8	2	0	63.21148936170213	Travel	1		
8	3	0	65.39636363636363	Travel	1		
8	3	2	37.39	Travel	1		
8	3	1	22.01673076923077	Travel	1		
8	0	2	60.876	Travel	1		
8	1	1	20.79520833333333	Travel	1		
8	1	2	24.354347826086954	Travel	1		
8	1	3	19.0	Travel	1		
8	1	0	72.24662068965517	Travel	1		
8	0	3	71.00999999999999	Travel	1		
8	2	2	10.614864864864865	Travel	1		
8	2	3	35.504	Travel	1		
8	0	1	70.7045238095238	Travel	1		
8	0	0	16.545607476635514	Travel	1		
8	3	3	20.945625	Travel	1		
8	2	1	26.135185185185183	Travel	1		
9	3	0	65.39636363636363	Travel	1		
9	0	3	71.00999999999999	Travel	1		
9	2	2	10.614864864864865	Travel	1		
9	2	0	63.21148936170213	Travel	1		
9	0	1	70.7045238095238	Travel	1		
9	3	1	22.01673076923077	Travel	1		
9	1	0	72.24662068965517	Travel	1		
9	2	1	26.135185185185183	Travel	1		
9	0	0	16.545607476635514	Travel	1		
9	2	3	35.504	Travel	1		
9	0	2	60.876	Travel	1		
9	1	3	19.0	Travel	1		
9	3	2	37.39	Travel	1		
9	3	3	20.945625	Travel	1		
9	1	1	20.79520833333333	Travel	1		
9	1	2	24.354347826086954	Travel	1		
10	2	0	63.21148936170213	Travel	1		
10	2	1	26.135185185185183	Travel	1		
10	1	3	19.0	Travel	1		
10	2	2	10.614864864864865	Travel	1		
10	1	2	24.354347826086954	Travel	1		
10	1	1	20.79520833333333	Travel	1		
10	2	3	35.504	Travel	1		
10	1	0	72.24662068965517	Travel	1		
10	0	3	71.00999999999999	Travel	1		
10	3	3	20.945625	Travel	1		
10	3	0	65.39636363636363	Travel	1		
10	3	2	37.39	Travel	1		
10	0	2	60.876	Travel	1		
10	3	1	22.01673076923077	Travel	1		
10	0	0	16.545607476635514	Travel	1		
10	0	1	70.7045238095238	Travel	1		
11	3	0	65.39636363636363	Travel	1		
11	2	1	26.135185185185183	Travel	1		
11	2	0	63.21148936170213	Travel	1		
11	1	3	19.0	Travel	1		
11	1	1	20.79520833333333	Travel	1		
11	3	2	37.39	Travel	1		
11	2	2	10.614864864864865	Travel	1		
11	1	2	24.354347826086954	Travel	1		
11	0	3	71.00999999999999	Travel	1		
11	0	1	70.7045238095238	Travel	1		
11	1	0	72.24662068965517	Travel	1		
11	3	1	22.01673076923077	Travel	1		
11	2	3	35.504	Travel	1		
11	0	2	60.876	Travel	1		
11	3	3	20.945625	Travel	1		
11	0	0	16.545607476635514	Travel	1		
12	2	1	26.583333333333332	Travel	1		
12	0	3	61.519999999999996	Travel	1		
12	1	3	20.29875	Travel	1		
12	2	0	65.88021276595744	Travel	1		
12	0	2	65.91433333333333	Travel	1		
12	1	2	25.4828	Travel	1		
12	3	1	23.70886363636364	Travel	1		
12	1	1	15.596774193548388	Travel	1		
12	3	2	35.626363636363635	Travel	1		
12	3	0	75.68954545454545	Travel	1		
12	3	3	13.288611111111111	Travel	1		
12	0	1	74.79862318840578	Travel	1		
12	0	0	13.667898089171976	Travel	1		
12	2	2	13.28955223880597	Travel	1		
12	1	0	73.48398692810457	Travel	1		
12	2	3	36.620000000000005	Travel	1		
13	1	2	25.4828	Travel	1		
13	0	3	61.519999999999996	Travel	1		
13	2	1	26.583333333333332	Travel	1		
13	1	0	73.48398692810457	Travel	1		
13	0	2	65.91433333333333	Travel	1		
13	3	2	35.626363636363635	Travel	1		
13	1	1	15.596774193548388	Travel	1		
13	0	1	74.79862318840578	Travel	1		
13	2	0	65.88021276595744	Travel	1		
13	3	3	13.288611111111111	Travel	1		
13	2	2	13.28955223880597	Travel	1		
13	0	0	13.667898089171976	Travel	1		
13	3	1	23.70886363636364	Travel	1		
13	2	3	36.620000000000005	Travel	1		
13	1	3	20.29875	Travel	1		
13	3	0	75.68954545454545	Travel	1		
14	2	1	26.583333333333332	Travel	1		
14	0	2	65.91433333333333	Travel	1		
14	3	2	35.626363636363635	Travel	1		
14	2	0	65.88021276595744	Travel	1		
14	1	3	20.29875	Travel	1		
14	1	0	73.48398692810457	Travel	1		
14	0	1	74.79862318840578	Travel	1		
14	2	2	13.28955223880597	Travel	1		
14	3	1	23.70886363636364	Travel	1		
14	1	2	25.4828	Travel	1		
14	0	3	61.519999999999996	Travel	1		
14	1	1	15.596774193548388	Travel	1		
14	3	3	13.288611111111111	Travel	1		
14	0	0	13.667898089171976	Travel	1		
14	2	3	36.620000000000005	Travel	1		
14	3	0	75.68954545454545	Travel	1		
15	0	1	74.79862318840578	Travel	1		
15	3	3	13.288611111111111	Travel	1		
15	1	0	73.48398692810457	Travel	1		
15	2	3	36.620000000000005	Travel	1		
15	2	2	13.28955223880597	Travel	1		
15	2	1	26.583333333333332	Travel	1		
15	3	0	75.68954545454545	Travel	1		
15	3	2	35.626363636363635	Travel	1		
15	0	3	61.519999999999996	Travel	1		
15	2	0	65.88021276595744	Travel	1		
15	3	1	23.70886363636364	Travel	1		
15	1	2	25.4828	Travel	1		
15	1	1	15.596774193548388	Travel	1		
15	0	0	13.667898089171976	Travel	1		
15	1	3	20.29875	Travel	1		
15	0	2	65.91433333333333	Travel	1		
16	0	1	72.7174025974026	Travel	1		
16	0	2	62.38028571428571	Travel	1		
16	0	3	71.168	Travel	1		
16	1	1	15.140869565217391	Travel	1		
16	3	2	30.64833333333333	Travel	1		
16	3	1	22.79076923076923	Travel	1		
16	2	0	66.82098039215686	Travel	1		
16	0	0	18.526969696969697	Travel	1		
16	1	2	26.26851851851852	Travel	1		
16	1	0	77.33500000000001	Travel	1		
16	2	1	29.27189189189189	Travel	1		
16	3	3	10.36025	Travel	1		
16	2	3	33.99285714285715	Travel	1		
16	2	2	11.788333333333332	Travel	1		
16	1	3	20.41181818181818	Travel	1		
16	3	0	80.602	Travel	1		
17	0	3	71.168	Travel	1		
17	1	0	77.33500000000001	Travel	1		
17	2	1	29.27189189189189	Travel	1		
17	3	2	30.64833333333333	Travel	1		
17	1	3	20.41181818181818	Travel	1		
17	3	1	22.79076923076923	Travel	1		
17	2	3	33.99285714285715	Travel	1		
17	2	0	66.82098039215686	Travel	1		
17	3	3	10.36025	Travel	1		
17	3	0	80.602	Travel	1		
17	2	2	11.788333333333332	Travel	1		
17	0	0	18.526969696969697	Travel	1		
17	1	2	26.26851851851852	Travel	1		
17	1	1	15.140869565217391	Travel	1		
17	0	1	72.7174025974026	Travel	1		
17	0	2	62.38028571428571	Travel	1		
18	0	3	71.168	Travel	1		
18	3	3	10.36025	Travel	1		
18	2	3	33.99285714285715	Travel	1		
18	1	2	26.26851851851852	Travel	1		
18	3	2	30.64833333333333	Travel	1		
18	1	1	15.140869565217391	Travel	1		
18	1	0	77.33500000000001	Travel	1		
18	2	2	11.788333333333332	Travel	1		
18	2	0	66.82098039215686	Travel	1		
18	0	2	62.38028571428571	Travel	1		
18	0	0	18.526969696969697	Travel	1		
18	3	1	22.79076923076923	Travel	1		
18	0	1	72.7174025974026	Travel	1		
18	1	3	20.41181818181818	Travel	1		
18	2	1	29.27189189189189	Travel	1		
18	3	0	80.602	Travel	1		
19	0	2	62.38028571428571	Travel	1		
19	2	3	33.99285714285715	Travel	1		
19	0	1	72.7174025974026	Travel	1		
19	3	3	10.36025	Travel	1		
19	1	1	15.140869565217391	Travel	1		
19	2	2	11.788333333333332	Travel	1		
19	3	0	80.602	Travel	1		
19	3	2	30.64833333333333	Travel	1		
19	3	1	22.79076923076923	Travel	1		
19	1	2	26.26851851851852	Travel	1		
19	2	1	29.27189189189189	Travel	1		
19	1	0	77.33500000000001	Travel	1		
19	2	0	66.82098039215686	Travel	1		
19	0	3	71.168	Travel	1		
19	0	0	18.526969696969697	Travel	1		
19	1	3	20.41181818181818	Travel	1		
20	2	3	39.815	Travel	1		
20	3	2	42.6525	Travel	1		
20	3	3	17.716363636363635	Travel	1		
20	0	2	66.4793103448276	Travel	1		
20	0	0	17.10138613861386	Travel	1		
20	1	0	83.74170212765958	Travel	1		
20	2	2	11.166883116883117	Travel	1		
20	3	1	23.20846153846154	Travel	1		
20	3	0	78.4625641025641	Travel	1		
20	0	1	79.7264	Travel	1		
20	0	3	65.07555555555555	Travel	1		
20	2	1	27.779999999999998	Travel	1		
20	1	1	14.502604166666666	Travel	1		
20	1	3	24.164285714285715	Travel	1		
20	1	2	29.398823529411768	Travel	1		
20	2	0	74.28197530864198	Travel	1		
21	2	0	74.28197530864198	Travel	1		
21	3	1	23.20846153846154	Travel	1		
21	3	2	42.6525	Travel	1		
21	1	3	24.164285714285715	Travel	1		
21	1	0	83.74170212765958	Travel	1		
21	2	1	27.779999999999998	Travel	1		
21	0	2	66.4793103448276	Travel	1		
21	0	3	65.07555555555555	Travel	1		
21	2	3	39.815	Travel	1		
21	3	0	78.4625641025641	Travel	1		
21	2	2	11.166883116883117	Travel	1		
21	1	2	29.398823529411768	Travel	1		
21	0	0	17.10138613861386	Travel	1		
21	0	1	79.7264	Travel	1		
21	1	1	14.502604166666666	Travel	1		
21	3	3	17.716363636363635	Travel	1		
22	2	1	27.779999999999998	Travel	1		
22	1	3	24.164285714285715	Travel	1		
22	3	0	78.4625641025641	Travel	1		
22	0	1	79.7264	Travel	1		
22	3	1	23.20846153846154	Travel	1		
22	0	0	17.10138613861386	Travel	1		
22	2	2	11.166883116883117	Travel	1		
22	2	0	74.28197530864198	Travel	1		
22	0	2	66.4793103448276	Travel	1		
22	3	2	42.6525	Travel	1		
22	3	3	17.716363636363635	Travel	1		
22	2	3	39.815	Travel	1		
22	0	3	65.07555555555555	Travel	1		
22	1	2	29.398823529411768	Travel	1		
22	1	1	14.502604166666666	Travel	1		
22	1	0	83.74170212765958	Travel	1		
23	3	0	78.4625641025641	Travel	1		
23	1	1	14.502604166666666	Travel	1		
23	0	2	66.4793103448276	Travel	1		
23	3	2	42.6525	Travel	1		
23	3	3	17.716363636363635	Travel	1		
23	1	3	24.164285714285715	Travel	1		
23	0	0	17.10138613861386	Travel	1		
23	2	1	27.779999999999998	Travel	1		
23	3	1	23.20846153846154	Travel	1		
23	2	3	39.815	Travel	1		
23	1	0	83.74170212765958	Travel	1		
23	0	3	65.07555555555555	Travel	1		
23	2	2	11.166883116883117	Travel	1		
23	1	2	29.398823529411768	Travel	1		
23	2	0	74.28197530864198	Travel	1		
23	0	1	79.7264	Travel	1		
24	2	0	81.49954022988506	Travel	1		
24	2	3	36.507999999999996	Travel	1		
24	0	1	75.99138888888889	Travel	1		
24	1	1	18.694929577464787	Travel	1		
24	2	2	14.216219512195122	Travel	1		
24	1	3	21.45380952380952	Travel	1		
24	0	2	65.49549019607844	Travel	1		
24	2	1	28.3453125	Travel	1		
24	1	2	26.225	Travel	1		
24	3	1	22.117200000000004	Travel	1		
24	3	0	82.667	Travel	1		
24	3	3	22.3774358974359	Travel	1		
24	3	2	40.23125	Travel	1		
24	1	0	85.55041237113402	Travel	1		
24	0	3	79.82300000000001	Travel	1		
24	0	0	15.970869565217392	Travel	1		
25	3	0	82.667	Travel	1		
25	2	2	14.216219512195122	Travel	1		
25	3	2	40.23125	Travel	1		
25	0	1	75.99138888888889	Travel	1		
25	0	2	65.49549019607844	Travel	1		
25	2	3	36.507999999999996	Travel	1		
25	2	1	28.3453125	Travel	1		
25	3	3	22.3774358974359	Travel	1		
25	2	0	81.49954022988506	Travel	1		
25	0	3	79.82300000000001	Travel	1		
25	1	3	21.45380952380952	Travel	1		
25	1	0	85.55041237113402	Travel	1		
25	1	2	26.225	Travel	1		
25	1	1	18.694929577464787	Travel	1		
25	3	1	22.117200000000004	Travel	1		
25	0	0	15.970869565217392	Travel	1		
26	3	3	22.3774358974359	Travel	1		
26	2	3	36.507999999999996	Travel	1		
26	0	0	15.970869565217392	Travel	1		
26	0	3	79.82300000000001	Travel	1		
26	2	2	14.216219512195122	Travel	1		
26	1	2	26.225	Travel	1		
26	1	3	21.45380952380952	Travel	1		
26	2	1	28.3453125	Travel	1		
26	1	0	85.55041237113402	Travel	1		
26	1	1	18.694929577464787	Travel	1		
26	2	0	81.49954022988506	Travel	1		
26	3	0	82.667	Travel	1		
26	3	1	22.117200000000004	Travel	1		
26	0	2	65.49549019607844	Travel	1		
26	0	1	75.99138888888889	Travel	1		
26	3	2	40.23125	Travel	1		
27	2	3	36.507999999999996	Travel	1		
27	3	2	40.23125	Travel	1		
27	2	2	14.216219512195122	Travel	1		
27	1	0	85.55041237113402	Travel	1		
27	0	0	15.970869565217392	Travel	1		
27	0	3	79.82300000000001	Travel	1		
27	2	1	28.3453125	Travel	1		
27	3	1	22.117200000000004	Travel	1		
27	0	1	75.99138888888889	Travel	1		
27	3	3	22.3774358974359	Travel	1		
27	1	2	26.225	Travel	1		
27	0	2	65.49549019607844	Travel	1		
27	3	0	82.667	Travel	1		
27	2	0	81.49954022988506	Travel	1		
27	1	3	21.45380952380952	Travel	1		
27	1	1	18.694929577464787	Travel	1		
28	1	2	26.166666666666668	Travel	1		
28	1	0	85.41436046511627	Travel	1		
28	1	1	13.628656716417911	Travel	1		
28	1	3	23.161	Travel	1		
28	0	3	73.9962962962963	Travel	1		
28	3	3	18.482985074626864	Travel	1		
28	0	2	65.1825352112676	Travel	1		
28	3	0	85.89925	Travel	1		
